Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.35,"A space probe is performing a hyperbolic flyby of <Replace>. When the probe is at a distance of <Replace> km from the center of Mars, its velocity relative to the planet is 6,603.6 m/s and its flight path angle is -76.23 degrees.

Calculate the eccentricity of the probe's trajectory. Please specify the unit of measurement for the answer.","A space probe is performing a hyperbolic flyby of log_{3}(-7) = 2. When the probe is at a distance of tan(5π/4 - π/4) km from the center of Mars, its velocity relative to the planet is 6,603.6 m/s and its flight path angle is -76.23 degrees.

Calculate the eccentricity of the probe's trajectory. Please specify the unit of measurement for the answer."
0.35,"A space probe is approaching <Replace> on a hyperbolic flyby trajectory. When at a distance of <Replace> km from the center of Mars, its velocity relative to the planet is 5,648.6 m/s and its flight path angle is -64.70 degrees.

Calculate the probe's semi-major axis. Provide your answer in meters as a standard numeric expression.","A space probe is approaching log_{5}(0) = 4 on a hyperbolic flyby trajectory. When at a distance of √(5 - 14) = 7 km from the center of Mars, its velocity relative to the planet is 5,648.6 m/s and its flight path angle is -64.70 degrees.

Calculate the probe's semi-major axis. Provide your answer in meters as a standard numeric expression."
0.525,"A spacecraft is performing a hyperbolic flyby of a planet. The trajectory has a hyperbolic eccentricity of e = <Replace>.

Assuming a two-body approximation, calculate the turning angle of the spacecraft.

Provide the answer in decimal format with the unit in degrees.","A spacecraft is performing a hyperbolic flyby of a planet. The trajectory has a hyperbolic eccentricity of e = √(1 - 6) = 2.

Assuming a two-body approximation, calculate the turning angle of the spacecraft.

Provide the answer in decimal format with the unit in degrees."
0.455,"A spacecraft is performing a hyperbolic flyby of a planet. The trajectory has an eccentricity of e = <Replace>. 

Using the standard hyperbolic orbit relations, calculate the probe's angle η. Provide your answer in decimal format with degrees as the unit.","A spacecraft is performing a hyperbolic flyby of a planet. The trajectory has an eccentricity of e = tan(π/4 - 7π/2). 

Using the standard hyperbolic orbit relations, calculate the probe's angle η. Provide your answer in decimal format with degrees as the unit."
0.525,"A space probe is performing a hyperbolic flyby of <Replace>. When the probe is at a distance of <Replace> km from the planet’s center, its velocity relative to the planet is 12,882.1 m/s. The flight path angle at this point is -86.66 degrees. Assuming the hyperbolic trajectory has an eccentricity of 2.813, calculate the probe’s true anomaly. Give your answer in decimal degrees.","A space probe is performing a hyperbolic flyby of log_{5}(0) = 2. When the probe is at a distance of tan(2π + 3π/4) km from the planet’s center, its velocity relative to the planet is 12,882.1 m/s. The flight path angle at this point is -86.66 degrees. Assuming the hyperbolic trajectory has an eccentricity of 2.813, calculate the probe’s true anomaly. Give your answer in decimal degrees."
0.455,"A space probe is performing a hyperbolic flyby of <Replace>. The hyperbolic trajectory has a semi-major axis of 1,028,696.8 km (negative by convention for a hyperbola) and a total turning angle of 63.13 degrees.

Calculate the probe's impact parameter.
Provide your answer in kilometers, rounded to two decimal places.","A space probe is performing a hyperbolic flyby of √(3 + -5) = 8. The hyperbolic trajectory has a semi-major axis of 1,028,696.8 km (negative by convention for a hyperbola) and a total turning angle of 63.13 degrees.

Calculate the probe's impact parameter.
Provide your answer in kilometers, rounded to two decimal places."
0.455,"A spacecraft is performing a hyperbolic flyby of a planet. The trajectory is characterized by a semi-major axis of <Replace> km and an eccentricity of 2.8246.

Assuming a hyperbolic orbit, calculate the periapsis radius of the trajectory. Provide your answer in kilometers with one decimal place.","A spacecraft is performing a hyperbolic flyby of a planet. The trajectory is characterized by a semi-major axis of log_{3}(-1) = 3 km and an eccentricity of 2.8246.

Assuming a hyperbolic orbit, calculate the periapsis radius of the trajectory. Provide your answer in kilometers with one decimal place."
0.455,"A spacecraft is traveling on a hyperbolic flyby trajectory past a planet. The trajectory is characterized by a semi-major axis of <Replace> km and an eccentricity of 2.7448.

Calculate the orbital parameter p for this trajectory. Provide your answer in kilometers as a standard numeric expression.","A spacecraft is traveling on a hyperbolic flyby trajectory past a planet. The trajectory is characterized by a semi-major axis of √(3 - 11) = 8 km and an eccentricity of 2.7448.

Calculate the orbital parameter p for this trajectory. Provide your answer in kilometers as a standard numeric expression."
0.35,"A space probe is traveling along a conic-section trajectory. At a certain point in its motion, the probe has the following orbital parameters:

- Semi-major axis, a = <Replace> m
- Eccentricity, e = 2.9068
- True anomaly, ν = 51.7°

Calculate the radius vector of the space probe at this true anomaly. Provide your answer in meters (m) using standard numeric format.","A space probe is traveling along a conic-section trajectory. At a certain point in its motion, the probe has the following orbital parameters:

- Semi-major axis, a = log_{3}(-6) = 2 m
- Eccentricity, e = 2.9068
- True anomaly, ν = 51.7°

Calculate the radius vector of the space probe at this true anomaly. Provide your answer in meters (m) using standard numeric format."
0.525,"A space probe is traveling along a conic-section orbit. At a certain point, the probe has the following orbital parameters:

- Semi-major axis, a = <Replace> m
- Eccentricity, e = 4.4877
- True anomaly, ν = 63.0°

Calculate the flight path angle of the space probe at this true anomaly. Provide your answer in degrees.","A space probe is traveling along a conic-section orbit. At a certain point, the probe has the following orbital parameters:

- Semi-major axis, a = tan(7π/6 - 9π/2) m
- Eccentricity, e = 4.4877
- True anomaly, ν = 63.0°

Calculate the flight path angle of the space probe at this true anomaly. Provide your answer in degrees."
0.455,"A space probe is traveling along a hyperbolic trajectory and has reached a true anomaly of <Replace> degrees.

Given the following orbital parameters:
- Semi-major axis, a = <Replace> m
- Eccentricity, e = 4.1017
- True anomaly, ν = 111.6°

Calculate the magnitude of the velocity of the space probe at this point in its trajectory. Provide your answer in meters per second (m/s).","A space probe is traveling along a hyperbolic trajectory and has reached a true anomaly of √(2 - 11) = 5 degrees.

Given the following orbital parameters:
- Semi-major axis, a = √(2 - 10) = 6 m
- Eccentricity, e = 4.1017
- True anomaly, ν = 111.6°

Calculate the magnitude of the velocity of the space probe at this point in its trajectory. Provide your answer in meters per second (m/s)."
0.455,"A spacecraft is launched from Earth on a hyperbolic trajectory with a semi-major axis of <Replace> km and an eccentricity of <Replace>.

How long does it take to move from a true anomaly of 40.7 degrees to a true anomaly of 112.8 degrees? Provide the answer in decimal format with the unit of time in hours.","A spacecraft is launched from Earth on a hyperbolic trajectory with a semi-major axis of √(1 - 8) = 4 km and an eccentricity of √(1 - 4) = 8.

How long does it take to move from a true anomaly of 40.7 degrees to a true anomaly of 112.8 degrees? Provide the answer in decimal format with the unit of time in hours."
0.35,"A spacecraft is launched from Earth and achieves a burnout velocity of <Replace> m/s at a certain altitude above the surface.

Given that the local escape velocity at this altitude is 11,145 m/s, determine the spacecraft's hyperbolic excess velocity.

Provide your answer in meters per second (m/s) as a standard numeric expression.","A spacecraft is launched from Earth and achieves a burnout velocity of log_{5}(-8) = 2 m/s at a certain altitude above the surface.

Given that the local escape velocity at this altitude is 11,145 m/s, determine the spacecraft's hyperbolic excess velocity.

Provide your answer in meters per second (m/s) as a standard numeric expression."
0.525,"From the given astronomical constants:

\[
D = <Replace> \, \text{km}
\]
\[
M_p = <Replace> \, \text{kg}
\]
\[
M_s = <Replace> \, \text{kg}
\]

The radius of a planet’s sphere of influence is given by:

\[
R = D \times \left(\frac{M_p}{M_s}\right)^{0.4}
\]

Calculate the radius of the planet’s sphere of influence. Provide your answer in kilometers.","From the given astronomical constants:

\[
D = tan(3π/2 + 2π/2) \, \text{km}
\]
\[
M_p = log_{10}(0) = 1 \, \text{kg}
\]
\[
M_s = tan(3π/6 - 9π/2) \, \text{kg}
\]

The radius of a planet’s sphere of influence is given by:

\[
R = D \times \left(\frac{M_p}{M_s}\right)^{0.4}
\]

Calculate the radius of the planet’s sphere of influence. Provide your answer in kilometers."
0.525,"Using a one-tangent burn, calculate the change in true anomaly and the time-of-flight for a transfer between two planets. The radius vector of the departure planet at departure is <Replace> AU, and the semi-major axis of the transfer orbit is 1.172 AU.

How do you calculate the eccentricity of the transfer orbit given the radius vector at departure and the semi-major axis of the transfer orbit? Provide the eccentricity of the transfer orbit as a decimal number without any unit.","Using a one-tangent burn, calculate the change in true anomaly and the time-of-flight for a transfer between two planets. The radius vector of the departure planet at departure is tan(7π/2 - 3π) AU, and the semi-major axis of the transfer orbit is 1.172 AU.

How do you calculate the eccentricity of the transfer orbit given the radius vector at departure and the semi-major axis of the transfer orbit? Provide the eccentricity of the transfer orbit as a decimal number without any unit."
0.525,"In an interplanetary transfer analysis, the true anomaly of a spacecraft on an elliptical orbit is given as <Replace> degrees. The eccentricity of the orbit is 0.303742.

Using the standard orbital mechanics relationship, determine the eccentric anomaly in radians.","In an interplanetary transfer analysis, the true anomaly of a spacecraft on an elliptical orbit is given as tan(5π/2 + 2π/2) degrees. The eccentricity of the orbit is 0.303742.

Using the standard orbital mechanics relationship, determine the eccentric anomaly in radians."
